SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s14
Step 173 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 15] | Lookahead: RBRACE | Action: r3
Step 174 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 15, 22] | Lookahead: RBRACE | Action: r2
Step 175 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 23] | Lookahead: RBRACE | Action: s43
Step 176 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 16, 23, 43] | Lookahead: RBRACE | Action: r15
Step 177 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 9] | Lookahead: RBRACE | Action: r9
Step 178 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 93, 95] | Lookahead: RBRACE | Action: r19
Step 179 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 12, 20, 39, 69, 84, 94] | Lookahead: RBRACE | Action: r18
Step 180 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 4] | Lookahead: RBRACE | Action: r6
Step 181 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 15] | Lookahead: RBRACE | Action: r3
Step 182 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 15, 22] | Lookahead: RBRACE | Action: r2
Step 183 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 15, 22] | Lookahead: RBRACE | Action: r2
Step 184 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 15, 22] | Lookahead: RBRACE | Action: r2
Step 185 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 23] | Lookahead: RBRACE | Action: s43
Step 186 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 16, 23, 43] | Lookahead: $ | Action: r15
Step 187 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 9] | Lookahead: $ | Action: r9
Step 188 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 11, 19, 35, 63, 81] | Lookahead: $ | Action: r21
Step 189 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 8] | Lookahead: $ | Action: r7
Step 190 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 15] | Lookahead: $ | Action: r3
Step 191 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 15, 22] | Lookahead: $ | Action: r2
Step 192 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 15, 22] | Lookahead: $ | Action: r2
Step 193 | Stack: [0, 15, 15, 15, 15, 15, 15, 15, 22] | Lookahead: $ | Action: r2
Step 194 | Stack: [0, 15, 15, 15, 15, 15, 15, 22] | Lookahead: $ | Action: r2
