SLR(1) SUCCESSFUL PARSE TRACE
==================================================
Step 1 | Stack: [0] | Lookahead: INT | Action: s10
Step 168 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 32] | Lookahead: RPAREN | Action: r37
Step 169 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 32, 51] | Lookahead: RPAREN | Action: r35
Step 170 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 63] | Lookahead: RPAREN | Action: s81
Step 171 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 37, 63, 81] | Lookahead: OR | Action: r43
Step 172 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 39] | Lookahead: OR | Action: r40
Step 173 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 39, 65] | Lookahead: OR | Action: r38
Step 174 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32] | Lookahead: OR | Action: s50
Step 175 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50] | Lookahead: LPAREN | Action: s37
Step 176 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37] | Lookahead: ID | Action: s34
Step 177 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 34] | Lookahead: GT | Action: r32
Step 178 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 35] | Lookahead: GT | Action: r30
Step 179 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 35, 59] | Lookahead: GT | Action: r26
Step 180 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 31] | Lookahead: GT | Action: r25
Step 181 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 31, 47] | Lookahead: GT | Action: r22
Step 182 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64] | Lookahead: GT | Action: s55
Step 183 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 55] | Lookahead: INT | Action: r46
Step 184 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56] | Lookahead: INT | Action: s36
Step 185 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 36] | Lookahead: RPAREN | Action: r33
Step 186 | Stack: [0, 17, 17, 17, 17, 17, 17, 17, 7, 20, 29, 46, 3, 17, 17, 11, 22, 32, 50, 37, 64, 56, 35] | Lookahead: RPAREN | Action: r30
